year,conference,number
2002,CHI,48
2002,NeurIPS,135
2003,CHI,46
2003,NeurIPS,128
2004,CHI,61
2004,NeurIPS,125
2005,CHI,56
2005,NeurIPS,136
2006,CHI,99
2006,NeurIPS,137
2007,CHI,137
2007,NeurIPS,140
2008,CHI,157
2008,NeurIPS,175
2009,CHI,198
2009,NeurIPS,178
2010,CHI,221
2010,NeurIPS,207
2011,CHI,302
2011,NeurIPS,216
2012,CHI,285
2012,NeurIPS,244
2013,CHI,300
2013,NeurIPS,262
2014,CHI,355
2014,NeurIPS,283
2015,CHI,380
2015,NeurIPS,288
2016,CHI,423
2016,NeurIPS,419
2017,CHI,457
2017,NeurIPS,491
2018,CHI,512
2018,NeurIPS,744
2019,CHI,539
2019,NeurIPS,1013
2020,CHI,601
2020,NeurIPS,1366
2021,CHI,582
2021,NeurIPS,1607
